#K-Path      Energy-Level
# NKPTS & NBANDS: 180  96
# Band-Index    1
   2.26100    -13.304249
   2.21601    -13.304929
   2.17101    -13.306269
   2.12602    -13.308515
   2.08103    -13.312198
   2.03603    -13.317040
   1.99104    -13.322883
   1.94604    -13.330438
   1.90105    -13.339792
   1.85606    -13.350730
   1.81106    -13.363280
   1.76607    -13.377539
   1.72108    -13.392652
   1.67608    -13.408417
   1.63109    -13.423574
   1.58609    -13.437323
   1.54110    -13.448868
   1.49611    -13.457770
   1.45111    -13.463298
   1.40612    -13.465107
   1.40612    -13.465107
   1.36888    -13.464356
   1.33164    -13.461288
   1.29440    -13.456666
   1.25715    -13.450300
   1.21991    -13.443238
   1.18267    -13.435121
   1.14543    -13.426500
   1.10819    -13.418013
   1.07095    -13.409979
   1.03371    -13.402477
   0.99647    -13.395730
   0.95923    -13.389988
   0.92199    -13.385063
   0.88475    -13.381159
   0.84750    -13.378142
   0.81026    -13.376128
   0.77302    -13.374848
   0.73578    -13.374094
   0.69854    -13.373852
   0.69854    -13.373852
   0.69807    -13.373852
   0.69761    -13.373852
   0.69714    -13.373853
   0.69667    -13.373853
   0.69621    -13.373854
   0.69574    -13.373855
   0.69527    -13.373856
   0.69481    -13.373857
   0.69434    -13.373859
   0.69387    -13.373861
   0.69341    -13.373862
   0.69294    -13.373859
   0.69247    -13.373861
   0.69201    -13.373864
   0.69154    -13.373866
   0.69107    -13.373869
   0.69061    -13.373872
   0.69014    -13.373875
   0.68968    -13.373878
   0.68968    -13.373878
   0.65338    -13.374585
   0.61708    -13.376354
   0.58078    -13.379360
   0.54448    -13.383254
   0.50818    -13.388174
   0.47188    -13.393633
   0.43558    -13.399813
   0.39929    -13.406598
   0.36299    -13.413596
   0.32669    -13.420979
   0.29039    -13.428283
   0.25409    -13.435478
   0.21779    -13.442256
   0.18149    -13.448694
   0.14519    -13.454441
   0.10890    -13.458892
   0.07260    -13.462381
   0.03630    -13.464333
   0.00000    -13.465107
 
 
# Band-Index    7
   0.00000    -13.035907
   0.03630    -13.035112
   0.07260    -13.032778
   0.10890    -13.028708
   0.14519    -13.023008
   0.18149    -13.015423
   0.21779    -13.006032
   0.25409    -12.994798
   0.29039    -12.981745
   0.32669    -12.967004
   0.36299    -12.950878
   0.39929    -12.933825
   0.43558    -12.916358
   0.47188    -12.899253
   0.50818    -12.883289
   0.54448    -12.869284
   0.58078    -12.857932
   0.61708    -12.849601
   0.65338    -12.844381
   0.68968    -12.842190
   0.68968    -12.842191
   0.69014    -12.842182
   0.69061    -12.842173
   0.69107    -12.842165
   0.69154    -12.842158
   0.69201    -12.842151
   0.69247    -12.842144
   0.69294    -12.842138
   0.69341    -12.842133
   0.69387    -12.842128
   0.69434    -12.842123
   0.69481    -12.842119
   0.69527    -12.842116
   0.69574    -12.842113
   0.69621    -12.842110
   0.69667    -12.842108
   0.69714    -12.842106
   0.69761    -12.842105
   0.69807    -12.842104
   0.69854    -12.842104
   0.69854    -12.842104
   0.73578    -12.843069
   0.77302    -12.845919
   0.81026    -12.851202
   0.84750    -12.859599
   0.88475    -12.871498
   0.92199    -12.886635
   0.95923    -12.904147
   0.99647    -12.922871
   1.03371    -12.941665
   1.07095    -12.959628
   1.10819    -12.976091
   1.14543    -12.990670
   1.18267    -13.003191
   1.21991    -13.013545
   1.25715    -13.021735
   1.29440    -13.028071
   1.33164    -13.032468
   1.36888    -13.035123
   1.40612    -13.035907
   1.40612    -13.035907
   1.45111    -13.035151
   1.49611    -13.032765
