#K-Path      Energy-Level
# NKPTS & NBANDS: 400  96
# Band-Index    1
   0.43818    -21.529256
   0.43111    -21.529298
   0.42404    -21.529340
   0.41697    -21.529373
   0.40991    -21.529417
   0.40284    -21.529461
   0.39577    -21.529511
   0.38870    -21.529549
   0.38164    -21.529595
   0.37457    -21.529628
   0.36750    -21.529656
   0.36043    -21.529685
   0.35337    -21.529733
   0.34630    -21.529780
   0.33923    -21.529876
   0.33216    -21.529924
   0.32510    -21.529972
   0.31803    -21.530007
   0.31096    -21.530063
   0.30390    -21.530140
   0.29683    -21.530229
   0.28976    -21.530249
   0.28269    -21.530294
   0.27563    -21.530341
   0.26856    -21.530378
   0.26149    -21.530425
   0.25442    -21.530501
   0.24736    -21.530563
   0.24029    -21.530619
   0.23322    -21.530664
   0.22615    -21.530708
   0.21909    -21.530751
   0.21202    -21.530760
   0.20495    -21.530780
   0.19789    -21.530821
   0.19082    -21.530890
   0.18375    -21.530919
   0.17668    -21.530929
   0.16962    -21.531000
   0.16255    -21.531049
   0.15548    -21.531071
   0.14841    -21.531101
   0.14135    -21.531140
   0.13428    -21.531171
   0.12721    -21.531201
   0.12014    -21.531223
   0.11308    -21.531250
   0.10601    -21.531256
   0.09894    -21.531288
   0.09188    -21.531311
   0.08481    -21.531397
   0.07774    -21.531416
   0.07067    -21.531414
   0.06361    -21.531451
   0.05654    -21.531478
   0.04947    -21.531484
   0.04240    -21.531513
   0.03534    -21.531522
   0.02827    -21.531530
   0.02120    -21.531536
   0.01413    -21.531540
   0.00707    -21.531542
   0.00000    -21.531413
 
 
# Band-Index    3
   0.00000    -19.265155
   0.00707    -19.265282
   0.01413    -19.265289
   0.02120    -19.265301
   0.02827    -19.265317
   0.03534    -19.265338
   0.04240    -19.265363
   0.04947    -19.265372
   0.05654    -19.265422
   0.06361    -19.265449
   0.07067    -19.265453
   0.07774    -19.265515
   0.08481    -19.265565
   0.09188    -19.265521
   0.09894    -19.265580
   0.10601    -19.265622
   0.11308    -19.265707
   0.12014    -19.265776
   0.12721    -19.265859
   0.13428    -19.265935
   0.14135    -19.266014
   0.14841    -19.266095
   0.15548    -19.266189
   0.16255    -19.266336
   0.16962    -19.266408
   0.17668    -19.266474
   0.18375    -19.266614
   0.19082    -19.266734
   0.19789    -19.266800
   0.20495    -19.266901
   0.21202    -19.267026
   0.21909    -19.267158
   0.22615    -19.267263
   0.23322    -19.267369
   0.24029    -19.267475
   0.24736    -19.267574
   0.25442    -19.267640
   0.26149    -19.267719
   0.26856    -19.267828
   0.27563    -19.267983
   0.28269    -19.268092
   0.28976    -19.268192
   0.29683    -19.268341
   0.30390    -19.268427
   0.31096    -19.268489
   0.31803    -19.268588
   0.32510    -19.268702
   0.33216    -19.268807
   0.33923    -19.268912
   0.34630    -19.268949
   0.35337    -19.269051
   0.36043    -19.269152
   0.36750    -19.269282
   0.37457    -19.269361
   0.38164    -19.269463
   0.38870    -19.269557
   0.39577    -19.269663
   0.40284    -19.269748
   0.40991    -19.269837
   0.41697    -19.269923
   0.42404    -19.270051
   0.43111    -19.270133
   0.43818    -19.270212
   0.44524    -19.270310
   0.45231    -19.270320
   0.45938    -19.270415
   0.46644    -19.270502
   0.47351    -19.270486
   0.48058    -19.270557
   0.48765    -19.270649
   0.49471    -19.270711
   0.50178    -19.270770
   0.50885    -19.270827
   0.51592    -19.270941
   0.52298    -19.270924
   0.53005    -19.271022
   0.53712    -19.271070
   0.54419    -19.271161
   0.55125    -19.271191
   0.55832    -19.271245
   0.56539    -19.271271
   0.57245    -19.271336
   0.57952    -19.271390
   0.58659    -19.271423
   0.59366    -19.271473
   0.60072    -19.271501
   0.60779    -19.271509
   0.61486    -19.271523
   0.62193    -19.271537
   0.62899    -19.271540
   0.63606    -19.271559
   0.64313    -19.271575
   0.65020    -19.271590
   0.65726    -19.271602
   0.66433    -19.271613
   0.67140    -19.271630
   0.67846    -19.271659
   0.68553    -19.271664
   0.69260    -19.271666
   0.69967    -19.271667
   0.69967    -19.271667
   0.70466    -19.271666
   0.70966    -19.271661
   0.71466    -19.271654
   0.71966    -19.271643
   0.72465    -19.271630
   0.72965    -19.271613
   0.73465    -19.271556
   0.73965    -19.271533
   0.74464    -19.271478
   0.74964    -19.271449
   0.75464    -19.271396
   0.75963    -19.271362
   0.76463    -19.271325
   0.76963    -19.271286
   0.77463    -19.271244
   0.77962    -19.271224
   0.78462    -19.271176
   0.78962    -19.271164
   0.79462    -19.271111
   0.79961    -19.271056
   0.80461    -19.270999
   0.80961    -19.270939
   0.81461    -19.270877
   0.81960    -19.270812
   0.82460    -19.270745
